EquipmentID,Date,Vibration_mms,BearingTemp_C,Pressure_bar
1001,2024-02-28,2.207,48.98,6.446
1001,2024-02-29,2.326,47.64,6.968
1001,2024-03-01,2.063,48.42,6.841
1001,2024-03-02,2.184,48.26,6.775
1001,2024-03-03,2.261,47.96,6.609
1001,2024-03-04,2.48,49.61,6.65
1001,2024-03-05,2.529,48.53,6.748
1001,2024-03-06,2.035,47.2,6.727
1001,2024-03-07,2.141,49.87,6.405
1001,2024-03-08,2.429,49.07,6.777
1001,2024-03-09,1.902,49.53,7.112
1001,2024-03-10,2.207,49.28,6.38
1001,2024-03-11,2.281,49.81,6.816
1001,2024-03-12,2.551,49.22,6.72
1001,2024-03-13,2.438,50.41,6.646
1001,2024-03-14,2.235,49.6,6.875
1001,2024-03-15,2.226,49.57,6.481
1001,2024-03-16,2.25,49.59,6.689
1001,2024-03-17,2.605,47.72,6.889
1001,2024-03-18,2.214,49.01,6.633
1001,2024-03-19,2.239,48.92,6.599
1001,2024-03-20,2.371,49.39,6.681
1001,2024-03-21,2.276,47.82,6.595
1001,2024-03-22,2.261,50.81,6.902
1001,2024-03-23,2.077,49.28,6.524
1001,2024-03-24,2.298,47.97,6.798
1001,2024-03-25,2.211,47.47,6.471
1001,2024-03-26,2.533,48.9,6.767
1001,2024-03-27,2.431,49.09,6.647
1001,2024-03-28,2.295,48.46,6.265
1001,2024-03-29,2.434,49.27,6.663
1001,2024-03-30,2.232,48.54,6.499
1001,2024-03-31,2.511,49.73,6.595
1001,2024-04-01,2.299,48.45,6.901
1001,2024-04-02,2.417,49.14,6.491
1001,2024-04-03,2.042,50.16,6.5
1001,2024-04-04,2.369,51.75,6.886
1001,2024-04-05,1.962,48.17,6.681
1001,2024-04-06,1.893,48.71,6.901
1001,2024-04-07,2.239,48.34,6.713
1001,2024-04-08,2.12,49.96,6.527
1001,2024-04-09,2.333,48.03,6.653
1001,2024-04-10,2.749,49.18,6.664
1001,2024-04-11,2.311,49.2,6.655
1001,2024-04-12,2.342,49.27,6.629
1001,2024-04-13,2.395,49.38,6.587
1001,2024-04-14,,,
1001,2024-04-15,2.562,49.74,6.451
1001,2024-04-16,2.678,49.99,6.357
1001,2024-04-17,2.814,50.28,6.247
1001,2024-04-18,2.972,50.62,6.119
1001,2024-04-19,3.15,51.0,5.974
1001,2024-04-20,3.35,51.43,5.812
1001,2024-04-21,3.57,51.91,5.634
1001,2024-04-22,3.811,52.43,5.438
1001,2024-04-23,4.074,52.99,5.225
1001,2024-04-24,4.357,53.6,4.995
1001,2024-04-25,4.662,54.25,4.749
1001,2024-04-26,4.987,54.95,4.485
1001,2024-04-27,5.333,55.7,4.204
1001,2024-04-28,5.701,56.49,3.906
1001,2024-04-29,6.089,57.32,3.591
1001,2024-04-30,6.498,58.2,3.259
1001,2024-05-01,,,
1001,2024-05-02,2.373,50.34,6.667
1001,2024-05-03,1.874,48.7,6.992
1001,2024-05-04,2.469,50.12,6.767
1001,2024-05-05,1.951,48.58,6.609
1001,2024-05-06,2.451,49.02,6.776
1001,2024-05-07,,,
1001,2024-05-08,2.456,49.94,6.532
1001,2024-05-09,2.326,48.68,6.675
1001,2024-05-10,1.993,49.09,6.638
1001,2024-05-11,2.55,49.5,6.36
1001,2024-05-12,2.588,50.39,6.637
1001,2024-05-13,2.287,48.69,6.62
1001,2024-05-14,2.245,47.44,6.596
1001,2024-05-15,2.268,48.9,6.41
1001,2024-05-16,2.105,49.19,6.609
1001,2024-05-17,2.52,49.29,6.657
1001,2024-05-18,2.191,50.49,6.679
1001,2024-05-19,2.29,49.49,6.488
1001,2024-05-20,2.141,49.99,6.761
1001,2024-05-21,2.175,48.08,6.476
1001,2024-05-22,2.045,50.05,6.629
1001,2024-05-23,2.551,51.27,6.865
1001,2024-05-24,,,
1001,2024-05-25,2.493,49.43,6.585
1001,2024-05-26,2.303,49.33,6.829
1001,2024-05-27,2.161,50.96,6.604
1001,2024-05-28,2.235,48.25,6.618
1001,2024-05-29,2.188,49.07,6.698
1001,2024-05-30,2.302,49.64,6.825
1001,2024-05-31,2.225,49.92,6.324
1001,2024-06-01,2.24,48.74,6.536
1001,2024-06-02,2.024,49.49,6.508
1001,2024-06-03,2.139,48.9,6.496
1001,2024-06-04,2.631,49.3,6.532
1001,2024-06-05,2.166,49.05,6.534
1001,2024-06-06,,,
1001,2024-06-07,2.368,49.16,6.527
1001,2024-06-08,2.582,50.05,6.682
1001,2024-06-09,2.009,48.21,6.725
1001,2024-06-10,2.258,48.94,6.551
1001,2024-06-11,2.174,49.84,6.684
1001,2024-06-12,1.948,48.11,6.915
1001,2024-06-13,2.447,49.36,6.713
1001,2024-06-14,2.295,48.12,6.566
1001,2024-06-15,2.314,50.31,6.654
1001,2024-06-16,2.15,51.49,6.523
1001,2024-06-17,2.391,51.2,6.705
1001,2024-06-18,2.192,48.96,6.796
1001,2024-06-19,2.271,49.92,6.538
1001,2024-06-20,2.078,49.3,6.631
1001,2024-06-21,2.057,49.28,6.834
1001,2024-06-22,2.567,50.73,6.587
1001,2024-06-23,2.199,47.86,6.692
1001,2024-06-24,2.358,50.23,6.507
1001,2024-06-25,2.293,49.13,6.538
1001,2024-06-26,2.212,50.59,6.585
1001,2024-06-27,2.198,49.36,6.99
1001,2024-06-28,2.426,48.51,6.602
1001,2024-06-29,2.24,49.45,6.584
1001,2024-06-30,2.27,49.91,6.579
1001,2024-07-01,,,
1001,2024-07-02,2.535,49.67,6.762
1001,2024-07-03,2.436,48.66,6.692
1001,2024-07-04,2.377,47.04,6.972
1001,2024-07-05,2.187,50.08,6.696
1001,2024-07-06,2.024,49.88,6.881
1001,2024-07-07,2.49,49.33,6.705
1001,2024-07-08,2.493,49.25,6.754
1001,2024-07-09,2.272,50.21,6.447
1001,2024-07-10,2.408,48.72,6.644
1001,2024-07-11,2.456,48.47,6.653
1001,2024-07-12,2.466,48.99,6.627
1001,2024-07-13,2.484,50.37,6.341
1001,2024-07-14,2.209,47.79,6.796
1001,2024-07-15,2.603,50.37,6.605
1001,2024-07-16,2.051,48.54,6.598
1001,2024-07-17,2.472,48.08,6.625
1001,2024-07-18,,,
1001,2024-07-19,2.475,49.08,6.725
1001,2024-07-20,2.676,47.88,6.473
1001,2024-07-21,2.597,48.82,6.524
1001,2024-07-22,2.071,50.11,6.707
1001,2024-07-23,1.962,50.37,6.685
1001,2024-07-24,2.463,48.75,6.607
1001,2024-07-25,2.097,49.58,6.577
1001,2024-07-26,2.298,49.89,6.538
1001,2024-07-27,2.468,48.53,6.655
1001,2024-07-28,1.971,49.53,6.841
1001,2024-07-29,,,
1001,2024-07-30,2.352,48.64,6.892
1001,2024-07-31,2.309,48.69,6.79
1001,2024-08-01,2.251,49.24,6.596
1001,2024-08-02,2.308,49.21,6.781
1001,2024-08-03,2.128,48.61,6.444
1001,2024-08-04,1.997,48.75,6.404
1001,2024-08-05,2.267,50.29,6.47
1001,2024-08-06,2.106,49.39,6.602
1001,2024-08-07,1.971,50.06,6.615
1001,2024-08-08,2.401,50.38,6.586
1001,2024-08-09,2.288,49.77,6.678
1001,2024-08-10,2.381,51.45,6.343
1001,2024-08-11,2.102,48.35,6.738
1001,2024-08-12,2.168,49.99,6.451
1001,2024-08-13,2.1,48.86,6.564
1001,2024-08-14,2.123,51.03,6.602
1001,2024-08-15,2.339,50.88,6.49
1001,2024-08-16,,,
1001,2024-08-17,2.371,48.21,6.513
1001,2024-08-18,2.368,49.84,6.662
1001,2024-08-19,2.705,49.97,6.752
1001,2024-08-20,2.022,49.91,6.748
1001,2024-08-21,2.478,49.11,6.514
1001,2024-08-22,2.282,49.63,6.545
1001,2024-08-23,2.297,49.83,6.525
1001,2024-08-24,2.01,49.1,6.731
1001,2024-08-25,2.208,50.21,6.358
1001,2024-08-26,2.449,46.92,6.849
1001,2024-08-27,2.284,49.81,6.591
1001,2024-08-28,2.316,48.14,6.546
1001,2024-08-29,2.242,50.14,6.714
1001,2024-08-30,2.531,48.95,6.818
1001,2024-08-31,2.296,48.29,6.715
1001,2024-09-01,1.86,49.55,6.821
1001,2024-09-02,2.162,48.27,6.684
1001,2024-09-03,1.906,48.26,6.848
1001,2024-09-04,1.65,47.61,6.85
1001,2024-09-05,2.194,49.15,6.649
1001,2024-09-06,2.567,49.67,6.879
1001,2024-09-07,2.31,50.2,6.688
1001,2024-09-08,2.066,49.04,6.677
1001,2024-09-09,2.112,50.23,6.525
1001,2024-09-10,2.526,49.2,6.62
1001,2024-09-11,2.332,49.08,6.78
1001,2024-09-12,2.31,49.75,6.467
1001,2024-09-13,2.289,50.24,6.761
1001,2024-09-14,2.308,48.84,6.716
1001,2024-09-15,2.461,48.93,6.705
1001,2024-09-16,2.411,49.02,6.333
1001,2024-09-17,2.343,49.26,6.648
1001,2024-09-18,2.092,48.28,6.761
1001,2024-09-19,2.402,50.21,6.549
1001,2024-09-20,2.163,48.78,6.677
1001,2024-09-21,2.519,49.64,6.307
1001,2024-09-22,2.046,48.35,6.764
1001,2024-09-23,2.273,49.54,6.564
1001,2024-09-24,2.299,49.57,6.794
1001,2024-09-25,2.035,48.76,6.387
1001,2024-09-26,,,
1001,2024-09-27,2.592,49.55,6.628
1001,2024-09-28,2.207,50.95,6.785
1001,2024-09-29,2.454,50.14,6.525
1001,2024-09-30,2.376,48.52,6.571
1001,2024-10-01,1.777,48.8,7.0
1001,2024-10-02,2.35,49.61,6.539
1001,2024-10-03,2.288,49.24,6.558
1001,2024-10-04,2.317,49.23,6.622
1001,2024-10-05,2.085,48.89,6.51
1001,2024-10-06,2.246,47.37,6.842
1001,2024-10-07,2.264,48.95,6.922
1001,2024-10-08,2.538,46.96,6.558
1001,2024-10-09,2.367,49.55,6.405
1001,2024-10-10,2.299,48.45,6.839
1001,2024-10-11,2.606,48.46,6.83
1001,2024-10-12,2.189,48.96,6.787
1001,2024-10-13,2.222,49.45,6.837
1001,2024-10-14,1.937,47.75,6.533
1001,2024-10-15,,,
1001,2024-10-16,2.493,48.11,6.456
1001,2024-10-17,2.483,47.14,6.451
1001,2024-10-18,2.434,48.21,6.811
1001,2024-10-19,2.322,50.77,6.563
1001,2024-10-20,2.343,48.12,7.005
1001,2024-10-21,2.25,49.83,6.675
1001,2024-10-22,2.259,47.81,6.567
1001,2024-10-23,2.311,49.48,6.783
1001,2024-10-24,2.602,48.86,6.934
1001,2024-10-25,2.411,49.12,6.736
1001,2024-10-26,2.288,49.75,6.481
1001,2024-10-27,2.184,50.93,6.719
1001,2024-10-28,2.173,49.37,6.87
1001,2024-10-29,2.621,49.3,6.59
1001,2024-10-30,2.401,48.2,6.547
1001,2024-10-31,2.314,49.76,6.816
1001,2024-11-01,2.231,48.93,6.685
1001,2024-11-02,2.078,50.01,6.498
1001,2024-11-03,2.287,49.13,6.607
1001,2024-11-04,2.475,50.92,6.55
1001,2024-11-05,2.222,47.19,6.708
1001,2024-11-06,2.255,48.88,6.68
1001,2024-11-07,2.256,50.06,6.836
1001,2024-11-08,2.322,48.83,6.77
1001,2024-11-09,1.981,48.39,6.429
1001,2024-11-10,2.253,48.91,6.725
1001,2024-11-11,2.129,47.8,6.798
1001,2024-11-12,2.477,49.3,6.732
1001,2024-11-13,2.146,51.62,6.818
1001,2024-11-14,2.415,50.32,6.581
1001,2024-11-15,2.605,48.07,6.521
1001,2024-11-16,2.237,48.3,6.803
1001,2024-11-17,2.18,48.77,6.504
1001,2024-11-18,2.338,50.18,6.34
1001,2024-11-19,2.3,48.36,6.817
1001,2024-11-20,2.101,48.49,6.555
1001,2024-11-21,2.392,50.06,6.618
1001,2024-11-22,2.703,50.04,6.454
1001,2024-11-23,2.248,48.8,6.465
1001,2024-11-24,2.26,48.06,6.49
1001,2024-11-25,2.091,47.63,6.609
1001,2024-11-26,2.364,48.48,6.719
1001,2024-11-27,2.051,46.95,6.319
1001,2024-11-28,2.079,49.93,6.776
1001,2024-11-29,2.556,48.55,6.486
1001,2024-11-30,2.119,49.66,6.504
1001,2024-12-01,2.516,51.05,6.765
1001,2024-12-02,2.605,50.35,6.652
1001,2024-12-03,2.352,48.03,6.433
1001,2024-12-04,2.411,50.05,6.94
1001,2024-12-05,2.691,50.34,6.534
1001,2024-12-06,2.3,49.18,6.664
1001,2024-12-07,2.311,49.21,6.661
1001,2024-12-08,2.345,49.3,6.655
1001,2024-12-09,2.4,49.45,6.595
1001,2024-12-10,2.596,50.65,6.631
1001,2024-12-11,2.578,49.95,6.552
1001,2024-12-12,2.7,50.28,6.59
1001,2024-12-13,2.844,50.68,6.549
1001,2024-12-14,3.011,51.14,6.534
1001,2024-12-15,3.2,51.67,6.499
1001,2024-12-16,3.411,52.25,6.461
1001,2024-12-17,3.644,52.89,6.418
1001,2024-12-18,3.9,53.6,6.371
1001,2024-12-19,4.177,54.37,6.321
1001,2024-12-20,4.477,55.2,6.266
1001,2024-12-21,4.799,56.09,6.207
1001,2024-12-22,5.144,57.04,6.144
1001,2024-12-23,5.51,58.05,6.077
1001,2024-12-24,5.899,59.13,6.006
1001,2024-12-25,6.31,60.26,5.931
1001,2024-12-26,6.743,61.46,5.852
1001,2024-12-27,1.963,49.53,6.69
1001,2024-12-28,2.378,48.5,6.666
1001,2024-12-29,1.911,51.22,6.517
1001,2024-12-30,2.018,51.49,6.749
1001,2024-12-31,2.471,47.72,6.357
1001,2025-01-01,2.441,49.48,6.599
1001,2025-01-02,2.27,51.69,6.603
1001,2025-01-03,1.958,49.96,6.623
1001,2025-01-04,2.226,49.4,6.71
1001,2025-01-05,2.164,48.97,6.479
1001,2025-01-06,2.427,48.64,6.752
1001,2025-01-07,2.752,48.97,6.637
1001,2025-01-08,2.343,48.63,6.566
1001,2025-01-09,2.144,49.92,6.459
1001,2025-01-10,2.066,48.78,6.486
1001,2025-01-11,2.289,48.74,6.718
1001,2025-01-12,2.265,47.98,6.519
1001,2025-01-13,2.07,49.13,6.673
1001,2025-01-14,,,
1001,2025-01-15,2.07,49.0,6.818
1001,2025-01-16,2.522,50.22,6.898
1001,2025-01-17,2.513,49.54,6.619
1001,2025-01-18,2.517,49.68,6.501
1001,2025-01-19,2.205,49.53,6.817
1001,2025-01-20,2.403,49.24,6.71
1001,2025-01-21,2.274,49.05,6.832
1001,2025-01-22,2.222,48.87,6.665
1001,2025-01-23,2.232,49.94,6.843
1001,2025-01-24,2.04,48.09,6.79
1001,2025-01-25,2.011,50.52,6.771
1001,2025-01-26,2.459,49.21,6.739
1001,2025-01-27,2.262,48.43,6.723
1001,2025-01-28,2.343,48.69,6.698
1001,2025-01-29,2.5,48.5,6.697
1001,2025-01-30,1.953,49.34,6.812
1001,2025-01-31,2.143,48.46,6.587
1001,2025-02-01,2.335,50.32,6.924
1001,2025-02-02,2.378,48.4,6.648
1001,2025-02-03,2.225,46.91,6.811
1001,2025-02-04,2.506,48.45,6.65
1001,2025-02-05,2.342,47.17,6.627
1001,2025-02-06,2.057,49.14,6.968
1001,2025-02-07,2.114,50.24,6.617
1001,2025-02-08,2.461,49.83,6.472
1001,2025-02-09,2.393,47.84,6.556
1001,2025-02-10,,,
1001,2025-02-11,2.57,50.96,6.987
1001,2025-02-12,2.42,49.5,6.695
1001,2025-02-13,2.569,49.18,6.804
1001,2025-02-14,,,
1001,2025-02-15,2.241,51.63,6.716
1001,2025-02-16,2.075,50.47,6.764
1001,2025-02-17,2.807,49.32,6.934
1001,2025-02-18,2.265,49.53,6.559
1001,2025-02-19,2.618,49.79,6.754
1001,2025-02-20,2.171,48.57,6.709
1001,2025-02-21,2.333,48.12,6.51
1001,2025-02-22,1.966,49.23,6.661
1001,2025-02-23,2.224,48.23,6.624
1001,2025-02-24,2.497,49.12,6.315
1001,2025-02-25,2.05,49.27,6.753
1001,2025-02-26,2.515,51.52,6.745
1001,2025-02-27,2.368,48.33,6.598
1001,2025-02-28,2.091,49.06,6.463
1001,2025-03-01,2.2,49.01,6.886
1001,2025-03-02,2.208,49.62,6.703
1001,2025-03-03,2.29,50.22,6.816
1001,2025-03-04,2.193,48.69,6.875
1001,2025-03-05,2.135,48.36,6.585
1001,2025-03-06,2.239,47.54,6.785
1001,2025-03-07,2.095,48.25,6.627
1001,2025-03-08,2.042,49.71,6.654
1001,2025-03-09,2.29,49.22,6.651
1001,2025-03-10,2.477,48.16,6.663
1001,2025-03-11,1.994,48.8,6.831
1001,2025-03-12,2.301,49.21,6.682
1001,2025-03-13,2.17,49.68,6.64
1001,2025-03-14,2.105,48.58,6.622
1001,2025-03-15,2.471,48.93,6.715
1001,2025-03-16,2.196,47.36,6.529
1001,2025-03-17,2.6,48.03,6.588
1001,2025-03-18,2.144,50.8,6.656
1001,2025-03-19,2.377,46.99,6.579
1001,2025-03-20,2.255,48.84,6.646
1001,2025-03-21,2.149,49.4,6.572
1001,2025-03-22,2.418,48.8,6.964
1001,2025-03-23,,,
1001,2025-03-24,2.421,49.12,6.731
1001,2025-03-25,2.291,49.17,6.655
1001,2025-03-26,2.083,49.1,6.992
1001,2025-03-27,2.28,47.3,6.712
1001,2025-03-28,2.31,49.03,6.651
1001,2025-03-29,2.492,48.32,6.709
1001,2025-03-30,2.119,48.63,6.709
1001,2025-03-31,2.292,49.4,6.875
1001,2025-04-01,1.956,49.82,6.661
1001,2025-04-02,2.43,50.07,6.978
1001,2025-04-03,2.084,48.68,6.531
1001,2025-04-04,1.939,50.1,6.768
1001,2025-04-05,2.288,50.35,6.513
1001,2025-04-06,2.521,50.31,6.936
1001,2025-04-07,1.995,50.57,6.614
1001,2025-04-08,2.082,49.03,6.655
1001,2025-04-09,2.151,49.0,6.802
1001,2025-04-10,2.074,50.0,6.852
1001,2025-04-11,2.376,47.81,6.497
1001,2025-04-12,2.139,49.39,6.612
1001,2025-04-13,2.156,48.65,6.454
1001,2025-04-14,2.417,48.81,6.684
1001,2025-04-15,2.149,47.44,6.648
1001,2025-04-16,2.387,48.29,6.611
1001,2025-04-17,2.106,49.16,6.561
1001,2025-04-18,2.058,50.07,6.606
1001,2025-04-19,1.933,50.17,6.552
1001,2025-04-20,2.672,49.1,6.743
1001,2025-04-21,2.236,48.99,6.891
1001,2025-04-22,2.349,48.35,6.374
1001,2025-04-23,2.294,49.58,6.646
1001,2025-04-24,2.332,48.93,6.601
1001,2025-04-25,2.31,49.78,6.737
1001,2025-04-26,2.682,50.93,6.521
1001,2025-04-27,2.092,49.15,6.642
1001,2025-04-28,1.989,47.68,6.508
1001,2025-04-29,2.098,48.32,6.768
1001,2025-04-30,2.033,47.72,6.678
1001,2025-05-01,2.449,47.98,6.639
1001,2025-05-02,2.464,50.48,6.719
1001,2025-05-03,2.108,49.4,6.627
1001,2025-05-04,2.022,47.66,6.43
1001,2025-05-05,2.229,49.83,6.753
1001,2025-05-06,2.578,50.44,6.707
1001,2025-05-07,1.736,48.82,6.64
1001,2025-05-08,2.405,48.5,6.811
1001,2025-05-09,2.085,48.84,6.846
1001,2025-05-10,2.508,49.46,6.5
1001,2025-05-11,2.084,49.82,6.546
1001,2025-05-12,2.243,50.36,6.896
1001,2025-05-13,1.999,50.39,6.876
1001,2025-05-14,2.105,50.36,6.553
1001,2025-05-15,2.577,50.54,6.486
1001,2025-05-16,2.464,49.84,6.568
1001,2025-05-17,2.22,47.65,6.589
1001,2025-05-18,2.126,49.05,6.426
1001,2025-05-19,1.921,49.49,6.668
1001,2025-05-20,2.221,48.79,6.472
1001,2025-05-21,2.294,50.09,6.482
1001,2025-05-22,2.283,48.82,6.801
1001,2025-05-23,2.281,48.25,6.561
1001,2025-05-24,2.076,50.62,6.653
1001,2025-05-25,2.287,49.84,6.758
1001,2025-05-26,2.292,49.4,6.786
1001,2025-05-27,2.558,50.1,6.613
1001,2025-05-28,2.673,50.24,6.67
1001,2025-05-29,2.273,49.52,6.54
1001,2025-05-30,2.147,46.72,6.926
1001,2025-05-31,2.287,48.5,6.761
1001,2025-06-01,2.179,48.72,6.498
1001,2025-06-02,2.152,48.19,6.664
1001,2025-06-03,2.288,49.38,6.771
1001,2025-06-04,2.091,50.37,6.735
1001,2025-06-05,2.421,48.69,6.938
1001,2025-06-06,2.279,48.04,6.869
1001,2025-06-07,2.35,51.21,6.583
1001,2025-06-08,2.263,48.73,6.65
1001,2025-06-09,2.155,47.94,6.471
1001,2025-06-10,2.11,49.42,6.701
1001,2025-06-11,2.253,49.6,6.686
1001,2025-06-12,,,
1001,2025-06-13,2.347,49.97,6.678
1001,2025-06-14,2.299,48.69,6.35
1001,2025-06-15,2.028,48.25,6.563
1001,2025-06-16,2.314,49.36,6.68
1001,2025-06-17,2.032,49.95,6.475
1001,2025-06-18,2.177,48.54,6.533
1001,2025-06-19,2.241,49.51,6.609
1001,2025-06-20,1.885,49.08,6.715
1001,2025-06-21,2.318,52.0,6.639
1001,2025-06-22,2.33,48.47,6.53
1001,2025-06-23,2.268,50.56,6.782
1001,2025-06-24,2.215,49.13,6.583
1001,2025-06-25,2.225,49.05,6.589
1001,2025-06-26,2.105,49.9,6.457
1001,2025-06-27,2.246,50.07,6.546
1001,2025-06-28,2.19,50.44,6.761
1001,2025-06-29,2.318,49.51,6.421
1001,2025-06-30,2.059,48.58,6.653
1001,2025-07-01,2.347,48.64,6.771
1001,2025-07-02,2.329,49.69,6.607
1001,2025-07-03,2.272,49.76,6.699
1001,2025-07-04,2.212,50.58,6.496
1001,2025-07-05,2.411,49.6,6.86
1001,2025-07-06,1.967,50.24,6.829
1001,2025-07-07,2.392,50.69,6.699
1001,2025-07-08,2.349,49.34,6.4
1001,2025-07-09,2.357,47.69,6.507
1001,2025-07-10,2.377,48.0,6.81
1001,2025-07-11,2.169,47.74,6.92
1001,2025-07-12,,,
1001,2025-07-13,2.427,48.33,6.851
1001,2025-07-14,2.386,50.41,6.572
1001,2025-07-15,2.341,49.76,6.635
1001,2025-07-16,1.997,50.89,6.664
1001,2025-07-17,2.408,50.18,6.727
1001,2025-07-18,2.534,49.08,6.434
1001,2025-07-19,2.502,48.98,6.805
1001,2025-07-20,2.347,49.26,6.862
1001,2025-07-21,1.989,49.35,6.491
1001,2025-07-22,2.489,48.65,6.46
1001,2025-07-23,2.271,49.15,6.716
1001,2025-07-24,1.794,50.79,6.565
1001,2025-07-25,2.376,47.48,6.308
1001,2025-07-26,2.002,49.44,6.785
1001,2025-07-27,2.041,48.27,6.687
1001,2025-07-28,2.173,49.36,6.592
1001,2025-07-29,2.555,50.02,6.981
1001,2025-07-30,,,
1001,2025-07-31,2.354,49.95,6.551
1001,2025-08-01,2.65,47.59,6.679
1001,2025-08-02,2.619,50.28,6.508
1001,2025-08-03,2.279,48.57,6.549
1001,2025-08-04,2.252,49.8,6.721
1001,2025-08-05,2.048,49.36,6.58
1001,2025-08-06,2.161,46.59,6.596
1001,2025-08-07,2.385,48.42,6.914
1001,2025-08-08,2.379,49.4,6.792
1001,2025-08-09,2.322,50.73,6.784
1001,2025-08-10,2.499,49.46,6.743
1001,2025-08-11,2.146,49.44,6.736
1001,2025-08-12,2.289,47.77,6.882
1001,2025-08-13,2.446,50.61,6.661
1001,2025-08-14,2.417,50.98,6.942
1001,2025-08-15,2.514,49.21,6.521
1001,2025-08-16,2.379,48.96,6.625
1001,2025-08-17,2.238,47.56,6.457
1001,2025-08-18,2.373,50.06,6.612
1001,2025-08-19,2.1,51.88,6.741
1001,2025-08-20,1.972,49.89,6.881
1001,2025-08-21,2.416,50.44,6.564
1001,2025-08-22,2.289,49.72,6.664
1001,2025-08-23,2.362,48.19,6.61
1001,2025-08-24,1.961,50.51,6.553
1001,2025-08-25,2.227,47.94,6.485
1001,2025-08-26,2.18,48.97,6.673
1001,2025-08-27,2.127,49.46,6.404
1001,2025-08-28,1.849,50.06,6.68
1001,2025-08-29,2.233,49.59,6.667
1001,2025-08-30,2.48,49.56,6.565
1001,2025-08-31,2.376,48.42,6.512
1001,2025-09-01,2.18,47.89,6.456
1001,2025-09-02,2.297,49.24,6.944
1001,2025-09-03,2.451,48.47,6.462
1001,2025-09-04,1.748,47.87,6.897
1001,2025-09-05,2.275,47.91,6.754
1001,2025-09-06,2.409,48.69,6.609
1001,2025-09-07,2.437,47.33,6.49
1001,2025-09-08,2.64,47.83,6.82
1001,2025-09-09,2.527,47.54,6.923
1001,2025-09-10,2.363,49.36,6.523
1001,2025-09-11,2.36,49.59,6.619
1001,2025-09-12,2.457,51.18,6.821
1001,2025-09-13,2.192,47.68,6.714
1001,2025-09-14,2.292,48.5,6.964
1001,2025-09-15,2.481,50.09,6.578
1001,2025-09-16,2.692,48.96,6.745
1001,2025-09-17,2.268,48.85,6.476
1001,2025-09-18,,,
1001,2025-09-19,2.34,48.84,6.554
1001,2025-09-20,2.569,48.02,6.332
1001,2025-09-21,2.294,47.86,6.645
1001,2025-09-22,2.594,49.51,6.643
1001,2025-09-23,2.107,49.48,6.951
1001,2025-09-24,2.263,47.81,6.613
1001,2025-09-25,2.26,48.19,6.662
1001,2025-09-26,2.457,49.71,6.753
1001,2025-09-27,2.509,49.75,6.901
1001,2025-09-28,1.998,48.53,6.654
1001,2025-09-29,2.117,49.8,6.819
1001,2025-09-30,2.367,49.75,6.741
1001,2025-10-01,2.168,47.39,6.619
1001,2025-10-02,1.996,48.87,6.675
