WorkOrderID,EquipmentID,FailureDate,RepairStartDate,RepairEndDate,MaintenanceTypeID,FailureModeID,LaborHours,Cost
50045,1009,2025-12-03 02:13:00,2025-12-03 08:13:00,2025-12-03 18:21:16.810595005,2,6,13.8,1701.46
50046,1009,2025-01-14 01:59:00,2025-01-14 11:59:00,,2,1,10.7,1617.06
50047,1009,2024-12-21 22:03:00,2024-12-22 00:03:00,2024-12-22 05:07:45.970713606,2,5,5.4,873.12
50048,1009,2024-06-23 18:39:00,2024-06-24 01:39:00,2024-06-24 05:53:07.781212802,2,2,4.3,2318.96
50049,1009,2024-04-15 03:53:00,2024-04-15 11:53:00,2024-04-15 18:06:54.681581881,2,4,5.7,921.04
50050,1009,2024-10-31 23:02:00,2024-11-01 09:02:00,2024-11-01 12:05:10.891578528,4,4,3.4,1452.2
50051,1009,2024-08-27 20:56:00,2024-08-27 21:56:00,2024-08-28 16:23:03.294477291,2,3,26.5,1517.52
50052,1009,2025-04-06 10:14:00,2025-04-06 13:14:00,2025-04-07 03:45:26.802316074,2,4,14.1,3196.55
50053,1009,2025-09-15 12:12:00,2025-09-15 20:12:00,2025-09-16 02:04:40.667041977,2,5,6.9,1458.18
50054,1009,2025-11-10 22:01:00,2025-11-11 08:01:00,2025-11-12 07:40:53.861924894,2,5,28.7,3872.27
50055,1010,2025-09-11 00:32:00,2025-09-11 06:32:00,2025-09-11 15:04:46.502454476,2,2,8.9,1136.99
50056,1010,2024-07-08 04:36:00,2024-07-08 05:36:00,,4,3,7.6,2510.49
50057,1010,2025-01-18 20:28:00,2025-01-19 03:28:00,2025-01-19 18:52:38.117836994,4,4,20.1,3801.49
50058,1010,2025-03-31 01:23:00,2025-03-31 10:23:00,2025-04-01 09:35:50.071905140,4,1,29.2,4229.48
50059,1010,2024-03-19 07:04:00,2024-03-19 18:04:00,2024-03-19 19:19:27.427883245,2,5,1.4,3022.51
50060,1010,2025-09-19 16:11:00,2025-09-19 22:11:00,2025-09-20 02:17:24.830248420,4,3,5.6,3041.16
50061,1010,2024-11-20 11:10:00,2024-11-20 21:10:00,2024-11-21 07:00:56.085008798,2,2,12.8,2942.42
50062,1010,2024-01-06 22:20:00,2024-01-07 08:20:00,2024-01-07 16:19:38.360108234,2,5,11.2,716.6
50063,1011,2024-10-29 22:49:00,2024-10-30 08:49:00,2024-10-30 13:36:06.783626871,2,6,4.7,5208.95
50064,1011,2025-09-24 10:18:00,2025-09-24 13:18:00,2025-09-24 14:50:39.380459963,2,2,1.6,2545.63
50065,1011,2025-01-24 22:37:00,2025-01-25 00:37:00,2025-01-25 02:38:19.423741731,2,6,2.9,3099.36
50066,1011,2024-09-08 04:02:00,2024-09-08 06:02:00,2024-09-08 16:12:56.396692930,2,1,12.7,3118.89
50067,1011,2024-11-24 06:55:00,2024-11-24 11:55:00,2024-11-24 14:55:29.027328566,4,5,2.9,2234.63
50068,1011,2025-10-12 08:06:00,2025-10-12 18:06:00,2025-10-13 05:41:46.927942076,2,5,11.2,2892.56
50069,1012,2024-07-05 15:12:00,2024-07-06 00:12:00,2024-07-06 04:41:09.678020719,4,5,5.6,5628.56
50070,1012,2025-07-23 01:40:00,2025-07-23 07:40:00,,2,1,0.5,730.77
50071,1012,2025-12-19 18:12:00,2025-12-20 00:12:00,2025-12-20 05:40:46.426847739,2,2,4.6,4251.48
50072,1012,2024-11-23 23:20:00,2024-11-24 02:20:00,2024-11-24 12:56:01.423071554,2,2,14.9,1573.11
50073,1012,2024-03-22 02:22:00,2024-03-22 08:22:00,2024-03-22 19:14:18.722562405,2,2,10.7,2852.05
50074,1012,2025-03-12 03:34:00,2025-03-12 06:34:00,2025-03-12 23:59:00.789417764,2,5,14.5,3856.78
50075,1012,2025-09-22 16:43:00,2025-09-23 00:43:00,,2,1,5.4,955.07
50076,1012,2024-04-22 02:18:00,2024-04-22 04:18:00,2024-04-22 19:10:23.690880386,2,2,11.9,5624.88
50077,1012,2025-01-24 06:33:00,2025-01-24 13:33:00,2025-01-24 16:35:10.971289420,2,5,3.4,3676.66
50078,1013,2025-08-23 23:47:00,2025-08-24 00:47:00,2025-08-24 07:53:28.348077106,2,3,9.2,4827.65
50079,1013,2025-08-25 22:38:00,2025-08-26 02:38:00,2025-08-26 09:21:44.770548532,4,3,6.2,3418.96
50080,1013,2024-03-29 14:05:00,2024-03-30 01:05:00,2024-03-30 22:00:26.648513382,2,1,29.9,7219.02
50081,1013,2024-10-29 23:36:00,2024-10-30 05:36:00,2024-10-30 09:06:30.196805504,2,3,4.4,4931.08
50082,1013,2024-05-18 12:41:00,2024-05-18 13:41:00,2024-05-19 03:10:27.846818365,2,3,16.0,3652.68
50083,1013,2025-07-02 17:08:00,2025-07-03 01:08:00,2025-07-03 07:08:24.797053281,2,3,7.0,989.85
50084,1013,2024-01-26 16:10:00,2024-01-27 01:10:00,2024-01-27 05:05:15.141513615,2,3,5.0,1517.85
50085,1013,2024-09-19 13:04:00,2024-09-20 00:04:00,2024-09-20 02:21:10.319375680,2,2,3.2,2529.63
50086,1014,2025-07-22 10:25:00,2025-07-22 20:25:00,2025-07-23 01:32:11.282581599,4,4,4.2,10957.9
50087,1014,2025-12-22 06:09:00,2025-12-22 11:09:00,2025-12-22 18:30:59.782428666,2,5,8.9,6111.32
50088,1014,2024-01-08 10:33:00,2024-01-08 17:33:00,2024-01-09 06:05:43.741638916,4,3,11.2,4060.14
50089,1014,2024-08-12 16:34:00,2024-08-13 00:34:00,2024-08-13 03:20:21.650763896,2,6,3.9,4039.76
50090,1014,2024-12-14 23:27:00,2024-12-15 02:27:00,,2,3,4.6,10825.96
50091,1015,2024-06-19 20:14:00,2024-06-19 23:14:00,2024-06-20 05:45:23.546611045,2,4,9.7,11567.14
50092,1015,2025-03-05 16:22:00,2025-03-05 17:22:00,2025-03-05 22:02:41.165911632,2,3,5.8,6928.67
50093,1016,2024-11-27 15:55:00,2024-11-27 17:55:00,2024-11-27 21:02:53.579241570,4,4,3.4,8683.65
50094,1017,2025-03-16 10:56:00,2025-03-16 21:56:00,2025-03-16 23:56:27.228831760,2,6,1.9,1443.49
50095,1017,2024-02-14 21:04:00,2024-02-15 02:04:00,2024-02-15 16:40:30.283157779,2,5,17.1,1665.04
50096,1017,2024-08-31 03:42:00,2024-08-31 06:42:00,2024-08-31 14:00:05.378128012,2,6,8.3,2056.79
50097,1017,2024-10-14 02:18:00,2024-10-14 08:18:00,2024-10-14 14:59:52.025867124,2,1,9.8,1099.02
50098,1017,2024-09-28 23:53:00,2024-09-29 06:53:00,2024-09-29 19:40:47.621111668,2,2,13.1,2492.26
50099,1017,2024-02-22 09:09:00,2024-02-22 15:09:00,2024-02-22 23:42:20.433971822,2,4,11.3,2021.03
50100,1017,2025-09-04 14:59:00,2025-09-04 16:59:00,2025-09-04 20:36:26.647134056,4,2,4.5,2504.85
50101,1017,2025-04-10 05:48:00,2025-04-10 14:48:00,,2,6,4.1,1171.01
50102,1017,2025-10-03 00:50:00,2025-10-03 01:50:00,2025-10-03 07:08:37.265860015,2,1,7.7,1440.14
50103,1017,2024-10-29 04:10:00,2024-10-29 12:10:00,2024-10-29 13:52:01.169026243,2,5,1.8,777.26
50104,1017,2024-03-07 04:59:00,2024-03-07 12:59:00,2024-03-07 14:42:35.653896476,4,1,2.6,1804.96
50105,1017,2025-07-02 04:46:00,2025-07-02 12:46:00,2025-07-03 09:39:19.549328391,2,6,24.9,3335.89
50106,1017,2025-03-06 09:13:00,2025-03-06 15:13:00,2025-03-06 21:34:54.699839395,4,3,7.1,871.76
50107,1018,2025-10-09 18:24:00,2025-10-09 22:24:00,2025-10-09 23:39:07.058430057,2,5,1.1,1835.87
50108,1018,2025-07-13 02:26:00,2025-07-13 04:26:00,2025-07-13 12:52:07.926764071,2,5,10.9,6045.63
50109,1018,2025-03-01 03:17:00,2025-03-01 10:17:00,2025-03-01 23:56:15.998037310,2,4,17.5,1894.57
50110,1018,2025-01-28 15:29:00,2025-01-28 20:29:00,2025-01-29 00:39:52.487333598,4,4,4.3,3452.82
50111,1019,2025-08-16 11:25:00,2025-08-16 15:25:00,2025-08-17 01:17:46.160132275,2,6,13.1,2930.57
50112,1019,2024-06-19 05:12:00,2024-06-19 14:12:00,2024-06-20 07:43:23.673159818,2,4,17.2,2614.69
50113,1019,2024-09-21 15:37:00,2024-09-21 20:37:00,,2,5,14.9,3103.53
50114,1019,2024-04-08 00:58:00,2024-04-08 10:58:00,2024-04-08 13:22:30.221789068,2,5,2.3,734.6
50115,1019,2024-01-20 06:34:00,2024-01-20 11:34:00,2024-01-21 04:43:52.630221902,2,6,23.2,2001.77
50116,1019,2024-12-13 14:37:00,2024-12-14 00:37:00,2024-12-14 02:04:01.354197913,2,1,1.7,1678.65
50117,1019,2024-08-03 09:47:00,2024-08-03 17:47:00,2024-08-04 08:59:57.219933682,2,6,22.6,2108.31
50118,1019,2024-08-04 19:02:00,2024-08-05 01:02:00,2024-08-05 10:45:34.856569408,2,1,13.4,3102.45
50119,1019,2025-11-14 15:13:00,2025-11-14 20:13:00,2025-11-15 01:34:35.476089375,2,5,4.8,2877.39
50120,1019,2025-10-30 11:36:00,2025-10-30 13:36:00,,2,4,3.0,2503.95
50121,1020,2024-01-20 05:36:00,2024-01-20 07:36:00,2024-01-20 12:59:54.055933216,4,4,5.8,2526.83
50122,1020,2025-03-04 21:47:00,2025-03-05 00:47:00,2025-03-05 07:28:10.642730607,2,3,6.4,1071.46
50123,1020,2025-04-18 12:49:00,2025-04-18 21:49:00,2025-04-19 02:41:22.004115052,2,1,5.3,3211.59
50124,1020,2025-09-15 04:55:00,2025-09-15 06:55:00,2025-09-15 14:10:15.621719832,2,3,10.2,1197.44
50125,1020,2025-03-26 12:35:00,2025-03-26 15:35:00,2025-03-26 17:06:09.278838303,2,3,2.1,2283.99
50126,1020,2024-12-04 19:45:00,2024-12-04 20:45:00,2024-12-04 21:37:13.751115510,2,3,1.2,2568.51
50127,1020,2024-09-11 10:12:00,2024-09-11 17:12:00,2024-09-12 02:15:47.552681372,2,3,11.5,902.52
50128,1020,2024-09-21 11:54:00,2024-09-21 12:54:00,2024-09-21 21:38:13.132961134,2,5,9.9,1978.56
50129,1020,2025-09-05 13:04:00,2025-09-06 00:04:00,2025-09-06 22:50:47.731922814,2,3,21.6,1449.64
50130,1020,2024-10-29 18:20:00,2024-10-29 21:20:00,2024-10-30 03:29:06.297321826,2,2,6.5,647.26
50131,1020,2025-01-18 08:43:00,2025-01-18 12:43:00,2025-01-18 17:09:47.708882340,2,3,3.9,676.23
50132,1020,2024-02-07 03:05:00,2024-02-07 05:05:00,2024-02-07 21:11:58.686869844,2,2,18.8,3836.7
50133,1020,2024-11-19 02:27:00,2024-11-19 03:27:00,2024-11-19 07:33:36.833772812,2,3,3.8,3111.18
50134,1021,2024-06-07 07:21:00,2024-06-07 10:21:00,2024-06-07 13:04:03.356715118,2,6,3.0,3794.07
50135,1021,2024-10-03 16:54:00,2024-10-04 03:54:00,2024-10-04 05:19:16.102565209,4,2,1.6,3809.72
50136,1021,2024-09-12 19:26:00,2024-09-13 02:26:00,2024-09-13 08:54:10.666680690,2,2,8.5,3009.55
50137,1021,2025-09-22 04:17:00,2025-09-22 07:17:00,2025-09-22 13:22:16.234310860,2,5,7.4,4330.9
50138,1021,2025-12-25 09:43:00,2025-12-25 10:43:00,,4,2,7.3,4380.61
50139,1021,2025-10-28 19:16:00,2025-10-29 02:16:00,2025-10-29 02:49:58.142972394,2,5,0.5,4365.21
50140,1021,2025-11-14 11:33:00,2025-11-14 15:33:00,2025-11-15 03:26:34.096633497,4,2,16.0,4158.82
50141,1022,2024-10-11 11:42:00,2024-10-11 20:42:00,2024-10-11 21:00:34.934295542,2,3,0.3,2489.1
50142,1022,2024-04-03 23:59:00,2024-04-04 01:59:00,2024-04-04 10:57:40.124431758,2,4,7.3,3574.41
50143,1022,2025-01-04 17:25:00,2025-01-04 23:25:00,2025-01-05 03:35:11.894050308,2,2,3.5,2970.61
50144,1022,2025-12-02 13:37:00,2025-12-02 19:37:00,2025-12-03 06:53:46.254041817,2,2,16.5,3737.67
50145,1022,2024-06-12 23:06:00,2024-06-13 08:06:00,2024-06-13 18:46:25.501819965,4,1,11.7,3480.32
50146,1022,2024-09-23 00:57:00,2024-09-23 01:57:00,2024-09-24 05:04:21.805056040,2,6,27.4,7130.47
50147,1022,2024-10-10 18:09:00,2024-10-10 19:09:00,2024-10-11 03:48:30.427428952,4,4,10.2,5801.55
50148,1022,2025-09-28 00:06:00,2025-09-28 07:06:00,2025-09-28 19:42:22.567354610,2,3,11.8,2757.48
50149,1023,2024-04-02 16:14:00,2024-04-03 03:14:00,2024-04-03 09:46:31.131674876,4,5,7.7,10722.18
50150,1023,2024-06-06 08:15:00,2024-06-06 19:15:00,2024-06-07 00:24:29.183818618,2,3,5.5,2445.83
50151,1023,2025-06-12 09:51:00,2025-06-12 10:51:00,,2,3,3.4,3252.53
50152,1023,2024-07-25 08:02:00,2024-07-25 19:02:00,2024-07-26 05:08:08.373799209,2,3,8.4,3528.3
50153,1024,2024-04-18 11:22:00,2024-04-18 18:22:00,2024-04-19 00:59:16.874890104,4,3,8.2,10460.04
50154,1025,2024-08-25 16:14:00,2024-08-26 01:14:00,2024-08-26 18:04:08.932080660,2,1,18.6,3018.97
50155,1025,2025-07-14 08:50:00,2025-07-14 16:50:00,2025-07-14 19:45:41.082055345,2,6,3.4,3196.69
50156,1025,2025-11-14 19:45:00,2025-11-15 00:45:00,,4,4,17.4,2918.36
50157,1025,2025-06-09 08:47:00,2025-06-09 16:47:00,2025-06-10 10:44:49.763905610,2,6,15.1,5727.06
50158,1025,2025-06-09 08:12:00,2025-06-09 16:12:00,2025-06-09 22:17:38.796834944,2,3,6.4,4217.55
50159,1025,2025-07-21 23:10:00,2025-07-22 07:10:00,2025-07-22 16:30:00.596962554,4,2,12.3,3673.24
50160,1026,2024-06-12 23:13:00,2024-06-13 09:13:00,2024-06-13 10:50:04.810308798,2,2,1.6,3157.73
50161,1026,2024-05-18 00:13:00,2024-05-18 10:13:00,2024-05-18 13:30:57.546596677,2,4,3.0,1981.09
50162,1026,2024-06-30 07:20:00,2024-06-30 11:20:00,2024-06-30 13:51:21.233741800,2,3,3.4,4405.27
50163,1026,2024-03-20 13:51:00,2024-03-20 22:51:00,2024-03-21 02:47:00.376869908,2,4,4.4,2692.38
50164,1026,2025-06-08 21:51:00,2025-06-09 00:51:00,2025-06-09 08:13:25.396443310,2,3,7.5,2828.64
50165,1027,2025-06-02 15:47:00,2025-06-02 16:47:00,2025-06-03 02:44:55.526086396,2,3,13.8,2025.43
50166,1027,2025-06-04 10:27:00,2025-06-04 13:27:00,2025-06-04 16:22:27.386846950,2,4,3.0,2627.37
50167,1027,2025-06-30 18:27:00,2025-06-30 21:27:00,2025-06-30 22:30:03.660121843,2,5,1.0,1424.74
50168,1027,2025-06-29 02:32:00,2025-06-29 03:32:00,2025-06-29 05:19:12.301277038,4,3,1.6,4582.02
50169,1027,2025-12-15 18:20:00,2025-12-15 21:20:00,2025-12-16 00:36:35.284981486,4,2,3.3,5488.48
50170,1027,2025-02-14 00:22:00,2025-02-14 03:22:00,2025-02-14 10:09:50.188309645,2,3,7.2,5152.23
50171,1027,2025-09-05 23:23:00,2025-09-06 02:23:00,2025-09-06 02:54:25.616075102,2,3,0.6,4490.7
50172,1027,2025-07-14 08:41:00,2025-07-14 09:41:00,2025-07-14 10:05:35.672704268,2,4,0.4,2808.66
50173,1027,2025-06-24 23:22:00,2025-06-25 09:22:00,2025-06-25 18:10:54.647231011,2,4,12.7,2627.91
50174,1027,2025-12-25 21:18:00,2025-12-26 06:18:00,2025-12-26 21:51:39.048776467,2,1,17.5,3236.23
50175,1027,2024-05-20 07:59:00,2024-05-20 16:59:00,2024-05-21 01:15:06.712778154,4,4,7.4,5716.14
50176,1027,2025-01-09 19:09:00,2025-01-10 00:09:00,2025-01-10 08:38:01.472983767,2,4,10.6,5164.44
50177,1028,2025-09-18 12:44:00,2025-09-18 22:44:00,2025-09-19 06:10:56.553979408,2,4,10.9,2729.95
50178,1028,2025-12-12 22:02:00,2025-12-13 03:02:00,2025-12-13 04:37:24.292563972,4,4,1.6,601.96
50179,1028,2025-12-21 08:27:00,2025-12-21 11:27:00,2025-12-22 02:09:48.494246256,2,4,21.2,1844.83
50180,1028,2025-07-19 05:41:00,2025-07-19 14:41:00,2025-07-19 16:05:24.572498691,2,4,1.8,2851.01
50181,1028,2024-04-24 10:20:00,2024-04-24 21:20:00,2024-04-25 01:00:44.397373288,2,4,3.7,2572.32
50182,1028,2025-03-14 11:15:00,2025-03-14 16:15:00,2025-03-15 01:31:15.768251328,4,6,11.4,2556.75
50183,1028,2025-11-13 10:28:00,2025-11-13 20:28:00,2025-11-13 23:06:58.916612857,2,2,2.2,1274.17
50184,1029,2024-09-19 16:16:00,2024-09-20 01:16:00,2024-09-20 05:32:47.957022278,2,6,5.8,2068.13
50185,1029,2025-08-03 17:40:00,2025-08-03 20:40:00,2025-08-04 01:05:46.424478756,2,6,5.2,3180.91
50186,1029,2024-03-30 20:51:00,2024-03-31 01:51:00,2024-03-31 07:42:19.258868293,2,2,7.1,1645.88
50187,1029,2024-07-11 01:42:00,2024-07-11 12:42:00,2024-07-11 16:59:35.755629738,4,6,3.7,1265.06
50188,1030,2025-01-20 09:08:00,2025-01-20 19:08:00,2025-01-21 01:59:44.349091225,2,4,8.0,4600.26
50189,1030,2024-10-29 15:01:00,2024-10-29 20:01:00,2024-10-30 01:45:05.758834736,2,3,5.2,2022.82
50190,1030,2025-08-06 15:42:00,2025-08-07 01:42:00,2025-08-07 05:06:47.343407295,2,4,3.5,1735.28
50191,1031,2024-08-27 00:48:00,2024-08-27 08:48:00,2024-08-27 11:21:43.440298462,2,4,2.2,1658.93
50192,1031,2024-08-29 09:07:00,2024-08-29 14:07:00,2024-08-29 19:18:10.419113889,2,3,5.9,3353.84
50193,1031,2024-03-01 07:56:00,2024-03-01 14:56:00,2024-03-01 22:44:53.253695797,4,3,6.6,3493.66
50194,1031,2025-05-03 02:17:00,2025-05-03 08:17:00,2025-05-03 23:22:46.222090339,4,3,14.0,2587.26
50195,1031,2024-04-15 03:45:00,2024-04-15 05:45:00,,2,3,6.3,1647.89
50196,1031,2024-03-18 01:22:00,2024-03-18 12:22:00,2024-03-18 21:35:20.833201070,2,3,12.3,2518.92
50197,1031,2024-07-01 11:49:00,2024-07-01 21:49:00,2024-07-01 22:36:09.774296145,2,4,0.8,3360.32
50198,1031,2025-07-02 01:59:00,2025-07-02 12:59:00,2025-07-02 18:23:30.336007809,4,3,5.1,3436.95
50199,1031,2025-05-02 18:09:00,2025-05-03 04:09:00,2025-05-03 09:42:51.491322331,2,3,5.7,3580.01
50200,1032,2024-11-09 23:12:00,2024-11-10 02:12:00,2024-11-10 02:54:33.662425222,4,3,0.6,2003.06
50201,1032,2024-03-22 18:25:00,2024-03-22 20:25:00,2024-03-23 07:11:28.591651642,2,2,8.8,5350.71
50202,1032,2024-03-15 21:44:00,2024-03-15 23:44:00,2024-03-16 02:13:16.262840940,2,3,3.5,699.02
50203,1032,2025-02-04 03:44:00,2025-02-04 05:44:00,2025-02-04 13:41:31.086974275,4,4,10.4,4223.51
50204,1032,2025-12-01 13:37:00,2025-12-02 00:37:00,2025-12-02 21:40:00.004520894,2,2,17.5,3552.65
50205,1032,2024-12-17 21:15:00,2024-12-18 05:15:00,2024-12-18 13:23:28.062087068,2,3,11.1,4846.1
50206,1032,2024-02-03 11:11:00,2024-02-03 13:11:00,2024-02-03 13:45:51.005215819,2,4,0.6,2494.81
50207,1033,2025-03-20 06:25:00,2025-03-20 17:25:00,2025-03-20 19:42:20.958079369,2,6,3.4,10113.34
50208,1033,2024-06-18 19:33:00,2024-06-19 06:33:00,2024-06-19 20:02:13.309840356,2,1,11.5,9663.1
50209,1033,2024-05-13 21:25:00,2024-05-14 07:25:00,2024-05-14 09:37:37.278677084,2,4,2.3,2775.36
50210,1034,2025-03-06 13:51:00,2025-03-06 20:51:00,2025-03-07 01:44:31.022382314,4,2,5.1,1132.17
50211,1034,2024-10-30 01:28:00,2024-10-30 07:28:00,2024-10-30 08:31:27.253609304,2,2,1.5,2731.3
50212,1034,2025-08-07 16:49:00,2025-08-08 03:49:00,2025-08-08 11:22:06.212741374,2,1,6.8,4375.97
50213,1034,2024-04-06 20:52:00,2024-04-06 21:52:00,2024-04-07 02:32:54.103883772,2,1,4.7,902.2
50214,1034,2025-05-15 08:07:00,2025-05-15 15:07:00,2025-05-15 16:00:25.873131156,2,5,1.0,2427.12
50215,1034,2025-07-12 06:46:00,2025-07-12 15:46:00,2025-07-12 19:08:33.100393090,2,4,3.5,2766.75
50216,1034,2025-06-22 18:06:00,2025-06-22 20:06:00,2025-06-23 04:02:09.377357892,2,6,7.9,4969.18
50217,1034,2025-01-01 05:30:00,2025-01-01 12:30:00,2025-01-01 17:05:40.395975493,4,6,4.1,2386.98
50218,1035,2024-02-26 19:42:00,2024-02-27 00:42:00,2024-02-27 02:44:11.917740843,4,3,1.8,1490.37
50219,1036,2025-12-21 12:08:00,2025-12-21 23:08:00,2025-12-22 01:00:45.869800162,2,4,2.6,2535.64
50220,1036,2024-08-28 07:29:00,2024-08-28 13:29:00,2024-08-29 00:10:06.127477890,4,1,10.0,4597.38
50221,1036,2024-12-03 12:21:00,2024-12-03 14:21:00,2024-12-04 03:00:22.702425339,2,2,14.3,3339.25
50222,1036,2024-03-14 18:06:00,2024-03-15 04:06:00,,2,2,8.3,1656.95
50223,1036,2025-11-26 08:29:00,2025-11-26 11:29:00,2025-11-26 21:38:14.146462292,2,1,13.2,5025.68
50224,1036,2025-05-15 03:25:00,2025-05-15 14:25:00,2025-05-15 23:14:33.107167358,2,1,10.8,1305.99
