EquipmentID,DateKey,ShiftID,PlannedProductionMinutes,DowntimeMinutes,IdealCycleTime,TotalCount,GoodCount
1001,20240208,1,480,13.9,0.776,580,566
1001,20240208,2,480,15.5,0.748,602,575
1001,20240208,3,480,23.2,0.413,1069,1019
1001,20240209,1,480,4.9,0.402,1078,1041
1001,20240209,2,480,4.1,0.626,689,680
1001,20240209,3,480,22.3,0.726,546,526
1001,20240210,1,480,22.8,0.444,933,929
1001,20240210,2,480,23.8,0.606,710,690
1001,20240210,3,480,18.8,0.416,964,944
1001,20240211,1,480,5.8,0.733,581,577
1001,20240211,2,480,20.5,0.646,681,655
1001,20240211,3,480,12.4,0.499,909,900
1001,20240212,1,480,22.6,0.839,536,515
1001,20240212,2,480,23.3,0.686,605,591
1001,20240212,3,480,8.6,0.544,765,729
1001,20240213,1,480,12.4,0.844,519,506
1001,20240213,2,480,10.7,0.632,652,645
1001,20240213,3,480,5.0,0.758,599,585
1001,20240214,1,480,21.6,0.546,817,805
1001,20240214,2,480,20.0,0.732,608,607
1001,20240214,3,480,10.5,0.807,555,539
1001,20240215,1,480,23.2,0.597,710,678
1001,20240215,2,480,5.6,0.82,523,506
1001,20240215,3,480,6.1,0.646,706,701
1001,20240216,1,480,1.8,0.687,637,624
1001,20240216,2,480,11.2,0.599,716,700
1001,20240216,3,480,12.5,0.636,708,698
1001,20240217,1,480,8.5,0.8,571,546
1001,20240217,2,480,14.6,0.543,817,785
1001,20240217,3,480,16.8,0.528,808,805
1001,20240218,1,480,9.5,0.838,554,550
1001,20240218,2,480,4.1,0.81,502,486
1001,20240218,3,480,21.8,0.744,569,551
1001,20240219,1,480,20.3,0.755,557,553
1001,20240219,2,480,5.7,0.485,919,916
1001,20240219,3,480,6.2,0.525,784,777
1001,20240220,1,480,5.7,0.652,719,683
1001,20240220,2,480,13.9,0.656,684,661
1001,20240220,3,480,10.3,0.484,925,914
1001,20240221,1,480,3.4,0.597,778,739
1001,20240221,2,480,7.5,0.678,624,601
1001,20240221,3,480,11.5,0.491,881,867
1001,20240222,1,480,14.4,0.447,1008,966
1001,20240222,2,480,19.1,0.58,762,731
1001,20240222,3,480,4.7,0.649,625,600
1001,20240223,1,480,18.1,0.819,485,481
1001,20240223,2,480,19.9,0.835,522,513
1001,20240223,3,480,13.1,0.726,629,600
1001,20240224,1,480,7.9,0.436,1063,1033
1001,20240224,2,480,16.9,0.821,557,533
1001,20240224,3,480,20.0,0.844,466,459
1001,20240225,1,480,8.9,0.724,599,576
1001,20240225,2,480,3.4,0.458,899,882
1001,20240225,3,480,8.8,0.508,878,863
1001,20240226,1,480,13.5,0.867,486,481
1001,20240226,2,480,1.9,0.77,613,607
1001,20240226,3,480,14.5,0.713,587,577
1001,20240227,1,480,19.3,0.899,470,447
1001,20240227,2,480,14.9,0.46,894,863
1001,20240227,3,480,18.3,0.492,819,779
1001,20240228,1,480,21.8,0.747,524,498
1001,20240228,2,480,14.0,0.541,804,780
1001,20240228,3,480,23.1,0.544,793,755
1001,20240229,1,480,23.9,0.89,488,474
1001,20240229,2,480,5.5,0.806,561,539
1001,20240229,3,480,11.3,0.631,717,705
1001,20240301,1,480,16.1,0.725,568,549
1001,20240301,2,480,1.1,0.793,549,533
1001,20240301,3,480,6.1,0.505,874,840
1001,20240302,1,480,1.6,0.784,550,532
1001,20240302,2,480,10.8,0.808,519,512
1001,20240302,3,480,23.5,0.73,569,561
1001,20240303,1,480,11.4,0.607,712,687
1001,20240303,2,480,2.6,0.607,682,661
1001,20240303,3,480,13.9,0.865,460,451
1001,20240304,1,480,11.4,0.41,1011,966
1001,20240304,2,480,5.4,0.537,800,780
1001,20240304,3,480,0.0,0.481,861,841
1001,20240305,1,480,8.2,0.674,616,585
1001,20240305,2,480,23.5,0.454,872,834
1001,20240305,3,480,24.5,0.709,600,599
1001,20240306,1,480,2.2,0.887,473,463
1001,20240306,2,480,10.5,0.592,777,743
1001,20240306,3,480,24.9,0.59,725,723
1001,20240307,1,480,1.4,0.861,516,508
1001,20240307,2,480,3.7,0.667,674,655
1001,20240307,3,480,3.9,0.522,884,841
1001,20240308,1,480,17.7,0.9,437,418
1001,20240308,2,480,16.9,0.43,1004,987
1001,20240308,3,480,14.7,0.583,756,740
1001,20240309,1,480,5.2,0.682,677,665
1001,20240309,2,480,11.8,0.561,719,691
1001,20240309,3,480,0.3,0.893,473,468
1001,20240310,1,480,4.2,0.542,797,769
1001,20240310,2,480,20.0,0.879,508,486
1001,20240310,3,480,19.4,0.474,950,926
1001,20240311,1,480,8.4,0.479,838,806
1001,20240311,2,480,22.9,0.799,563,537
1001,20240311,3,480,14.8,0.529,814,786
1001,20240312,1,480,7.1,0.687,602,585
1001,20240312,2,480,16.3,0.464,979,954
1001,20240312,3,480,20.5,0.727,600,591
1001,20240313,1,480,21.9,0.707,575,549
1001,20240313,2,480,15.2,0.433,948,903
1001,20240313,3,480,13.7,0.48,908,897
1001,20240314,1,480,20.5,0.555,767,749
1001,20240314,2,480,11.8,0.728,565,563
1001,20240314,3,480,2.5,0.815,546,525
1001,20240315,1,480,18.6,0.442,1000,978
1001,20240315,2,480,2.8,0.44,1035,998
1001,20240315,3,480,22.2,0.781,555,534
1001,20240316,1,480,17.7,0.874,456,440
1001,20240316,2,480,5.9,0.597,757,736
1001,20240316,3,480,14.3,0.557,727,700
1001,20240317,1,480,21.5,0.701,590,583
1001,20240317,2,480,1.6,0.527,800,798
1001,20240317,3,480,17.7,0.709,554,531
1001,20240318,1,480,15.9,0.59,770,760
1001,20240318,2,480,11.2,0.775,596,579
1001,20240318,3,480,16.1,0.859,477,473
1001,20240319,1,480,2.4,0.724,633,620
1001,20240319,2,480,12.4,0.709,574,551
1001,20240319,3,480,6.7,0.699,617,593
1001,20240320,1,480,22.1,0.587,711,689
1001,20240320,2,480,4.5,0.766,566,538
1001,20240320,3,480,24.1,0.808,536,532
1001,20240321,1,480,22.7,0.569,751,735
1001,20240321,2,480,6.7,0.511,802,787
1001,20240321,3,480,19.5,0.78,527,505
1001,20240322,1,480,11.3,0.673,681,676
1001,20240322,2,480,22.9,0.825,545,530
1001,20240322,3,480,1.2,0.442,979,942
1001,20240323,1,480,4.2,0.877,475,473
1001,20240323,2,480,19.0,0.72,604,583
1001,20240323,3,480,16.2,0.493,923,890
1001,20240324,1,480,6.4,0.756,590,573
1001,20240324,2,480,15.8,0.48,913,879
1001,20240324,3,480,6.8,0.481,881,851
1001,20240325,1,480,11.4,0.495,830,810
1001,20240325,2,480,3.2,0.744,629,610
1001,20240325,3,480,22.5,0.449,872,859
1001,20240326,1,480,19.0,0.822,481,475
1001,20240326,2,480,9.4,0.552,745,744
1001,20240326,3,480,1.6,0.814,552,544
1001,20240327,1,480,17.8,0.829,488,463
1001,20240327,2,480,15.0,0.577,698,669
1001,20240327,3,480,8.3,0.435,930,925
1001,20240328,1,480,7.8,0.891,522,499
1001,20240328,2,480,17.9,0.7,624,595
1001,20240328,3,480,4.7,0.438,1014,1012
1001,20240329,1,480,16.8,0.755,606,595
1001,20240329,2,480,1.0,0.834,517,491
1001,20240329,3,480,12.7,0.869,476,463
1001,20240330,1,480,4.3,0.429,955,941
1001,20240330,2,480,21.6,0.472,864,829
1001,20240330,3,480,0.7,0.677,671,658
1001,20240331,1,480,9.7,0.678,598,572
1001,20240331,2,480,23.3,0.781,572,569
1001,20240331,3,480,16.2,0.864,487,462
1001,20240401,1,480,1.6,0.455,907,877
1001,20240401,2,480,17.5,0.795,542,518
1001,20240401,3,480,18.7,0.577,681,656
1001,20240402,1,480,8.3,0.537,846,835
1001,20240402,2,480,17.4,0.47,947,931
1001,20240402,3,480,4.9,0.724,602,584
1001,20240403,1,480,2.8,0.659,625,598
1001,20240403,2,480,3.3,0.877,483,467
1001,20240403,3,480,8.1,0.849,516,513
1001,20240404,1,480,7.5,0.457,959,927
1001,20240404,2,480,20.0,0.84,501,499
1001,20240404,3,480,13.8,0.535,800,761
1001,20240405,1,480,20.1,0.451,910,889
1001,20240405,2,480,1.1,0.44,1031,983
1001,20240405,3,480,11.9,0.569,725,695
1001,20240406,1,480,19.1,0.876,457,455
1001,20240406,2,480,14.9,0.721,612,602
1001,20240406,3,480,20.5,0.642,661,638
1001,20240407,1,480,2.6,0.732,557,536
1001,20240407,2,480,2.4,0.495,906,888
1001,20240407,3,480,10.5,0.445,960,928
1001,20240408,1,480,18.0,0.69,615,598
1001,20240408,2,480,24.2,0.778,538,523
1001,20240408,3,480,0.7,0.871,492,473
1001,20240409,1,480,25.0,0.759,513,488
1001,20240409,2,480,0.6,0.7,588,585
1001,20240409,3,480,23.4,0.673,635,612
1001,20240410,1,480,1.6,0.769,537,512
1001,20240410,2,480,7.8,0.406,1059,1042
1001,20240410,3,480,20.0,0.702,634,614
1001,20240411,1,480,21.2,0.653,619,616
1001,20240411,2,480,6.9,0.413,1012,979
1001,20240411,3,480,8.8,0.662,693,668
1001,20240412,1,480,13.0,0.57,790,756
1001,20240412,2,480,2.6,0.651,692,684
1001,20240412,3,480,14.7,0.787,535,509
1001,20240413,1,480,2.9,0.419,1020,993
1001,20240413,2,480,8.9,0.68,635,624
1001,20240413,3,480,16.7,0.559,744,728
1001,20240414,1,480,14.9,0.557,748,736
1001,20240414,2,480,16.2,0.468,903,897
1001,20240414,3,480,0.9,0.828,505,492
1001,20240415,1,480,10.6,0.405,1133,1101
1001,20240415,2,480,23.9,0.543,815,811
1001,20240415,3,480,13.9,0.501,880,859
1001,20240416,1,480,23.6,0.62,653,624
1001,20240416,2,480,17.5,0.887,445,438
1001,20240416,3,480,23.2,0.437,904,889
1001,20240417,1,480,16.2,0.434,1033,1007
1001,20240417,2,480,22.7,0.839,525,512
1001,20240417,3,480,6.3,0.653,626,614
1001,20240418,1,480,3.3,0.656,623,600
1001,20240418,2,480,5.8,0.71,641,610
1001,20240418,3,480,21.3,0.83,496,487
1001,20240419,1,480,10.1,0.477,910,868
1001,20240419,2,480,22.0,0.862,512,500
1001,20240419,3,480,13.9,0.892,462,440
1001,20240420,1,480,14.0,0.564,739,702
1001,20240420,2,480,14.9,0.532,766,729
1001,20240420,3,480,9.1,0.839,503,494
1001,20240421,1,480,18.9,0.564,788,775
1001,20240421,2,480,14.0,0.4,995,993
1001,20240421,3,480,19.6,0.869,517,491
1001,20240422,1,480,19.8,0.626,706,670
1001,20240422,2,480,7.2,0.776,585,573
1001,20240422,3,480,7.5,0.555,838,814
1001,20240423,1,480,11.2,0.676,629,614
1001,20240423,2,480,10.8,0.813,564,561
1001,20240423,3,480,14.1,0.621,711,704
1001,20240424,1,480,14.1,0.75,593,583
1001,20240424,2,480,18.7,0.504,841,823
1001,20240424,3,480,0.1,0.828,542,518
1001,20240425,1,480,20.4,0.759,578,560
1001,20240425,2,480,21.4,0.607,702,666
1001,20240425,3,480,16.1,0.759,568,553
1001,20240426,1,480,20.2,0.741,551,549
1001,20240426,2,480,17.7,0.894,509,506
1001,20240426,3,480,18.9,0.705,571,557
1001,20240427,1,480,19.1,0.66,678,647
1001,20240427,2,480,9.5,0.653,656,626
1001,20240427,3,480,3.8,0.819,533,507
1001,20240428,1,480,0.4,0.637,657,646
1001,20240428,2,480,19.9,0.514,835,799
1001,20240428,3,480,7.6,0.844,518,514
1001,20240429,1,480,5.6,0.565,769,748
1001,20240429,2,480,24.9,0.457,965,957
1001,20240429,3,480,13.8,0.572,752,725
1001,20240430,1,480,20.0,0.649,694,680
1001,20240430,2,480,12.9,0.756,568,564
1001,20240430,3,480,4.6,0.887,516,511
1001,20240501,1,480,273.0,0.553,358,342
1001,20240501,2,480,174.7,0.561,492,487
1001,20240501,3,480,245.3,0.437,514,508
1001,20240502,1,480,10.0,0.761,604,597
1001,20240502,2,480,9.8,0.642,702,676
1001,20240502,3,480,20.1,0.564,785,749
1001,20240503,1,480,1.1,0.899,517,513
1001,20240503,2,480,23.8,0.619,656,627
1001,20240503,3,480,12.5,0.51,899,854
1001,20240504,1,480,3.6,0.523,799,767
1001,20240504,2,480,16.4,0.564,769,764
1001,20240504,3,480,15.1,0.747,560,536
1001,20240505,1,480,8.0,0.882,501,482
1001,20240505,2,480,11.3,0.818,540,527
1001,20240505,3,480,22.1,0.736,584,560
1001,20240506,1,480,2.7,0.883,504,489
1001,20240506,2,480,14.7,0.431,1041,1000
1001,20240506,3,480,20.1,0.667,612,582
1001,20240507,1,480,20.4,0.488,807,796
1001,20240507,2,480,8.8,0.595,700,694
1001,20240507,3,480,7.4,0.505,835,801
1001,20240508,1,480,7.9,0.441,933,905
1001,20240508,2,480,22.0,0.429,939,933
1001,20240508,3,480,22.3,0.74,546,529
1001,20240509,1,480,5.3,0.464,924,903
1001,20240509,2,480,9.0,0.705,595,575
1001,20240509,3,480,19.8,0.839,490,479
1001,20240510,1,480,7.0,0.427,1055,1011
1001,20240510,2,480,10.6,0.644,638,609
1001,20240510,3,480,8.7,0.876,503,487
1001,20240511,1,480,1.0,0.7,590,576
1001,20240511,2,480,18.8,0.612,672,639
1001,20240511,3,480,0.6,0.615,758,729
1001,20240512,1,480,14.4,0.742,538,515
1001,20240512,2,480,8.3,0.735,584,575
1001,20240512,3,480,21.7,0.779,581,573
1001,20240513,1,480,21.3,0.816,535,529
1001,20240513,2,480,23.4,0.638,672,655
1001,20240513,3,480,21.3,0.616,718,710
1001,20240514,1,480,24.0,0.524,826,815
1001,20240514,2,480,23.4,0.853,497,486
1001,20240514,3,480,4.2,0.887,475,468
1001,20240515,1,480,19.9,0.621,651,624
1001,20240515,2,480,21.4,0.655,603,594
1001,20240515,3,480,6.3,0.838,504,483
1001,20240516,1,480,2.1,0.656,665,656
1001,20240516,2,480,11.6,0.572,726,699
1001,20240516,3,480,23.2,0.483,934,902
1001,20240517,1,480,2.2,0.524,782,773
1001,20240517,2,480,12.8,0.568,775,760
1001,20240517,3,480,23.5,0.881,489,484
1001,20240518,1,480,19.8,0.646,675,643
1001,20240518,2,480,19.0,0.881,451,446
1001,20240518,3,480,23.3,0.513,822,818
1001,20240519,1,480,24.0,0.464,883,869
1001,20240519,2,480,5.5,0.562,720,689
1001,20240519,3,480,14.1,0.727,602,594
1001,20240520,1,480,10.4,0.537,745,715
1001,20240520,2,480,7.8,0.489,823,788
1001,20240520,3,480,16.7,0.715,635,628
1001,20240521,1,480,14.2,0.469,922,878
1001,20240521,2,480,10.8,0.595,717,690
1001,20240521,3,480,17.1,0.82,540,529
1001,20240522,1,480,13.5,0.416,1066,1041
1001,20240522,2,480,6.8,0.564,823,807
1001,20240522,3,480,11.9,0.71,598,581
1001,20240523,1,480,7.3,0.62,721,686
1001,20240523,2,480,19.9,0.541,804,789
1001,20240523,3,480,16.3,0.704,648,631
1001,20240524,1,480,18.3,0.753,541,521
1001,20240524,2,480,10.6,0.539,784,759
1001,20240524,3,480,15.1,0.51,877,851
1001,20240525,1,480,17.7,0.441,960,913
1001,20240525,2,480,16.9,0.572,795,767
1001,20240525,3,480,14.1,0.529,825,802
1001,20240526,1,480,9.3,0.502,811,775
1001,20240526,2,480,25.0,0.606,638,635
1001,20240526,3,480,0.5,0.609,748,744
1001,20240527,1,480,17.8,0.632,721,686
1001,20240527,2,480,24.7,0.825,540,519
1001,20240527,3,480,3.6,0.732,600,585
1001,20240528,1,480,23.1,0.71,575,557
1001,20240528,2,480,3.3,0.496,836,827
1001,20240528,3,480,17.6,0.665,627,616
1001,20240529,1,480,20.3,0.841,506,501
1001,20240529,2,480,12.8,0.637,712,689
1001,20240529,3,480,9.9,0.552,785,766
1001,20240530,1,480,16.5,0.615,663,658
1001,20240530,2,480,8.7,0.861,481,470
1001,20240530,3,480,13.4,0.814,498,495
1001,20240531,1,480,13.3,0.693,620,590
1001,20240531,2,480,12.4,0.532,789,774
1001,20240531,3,480,12.4,0.447,899,862
1001,20240601,1,480,4.8,0.704,590,585
1001,20240601,2,480,5.2,0.446,1035,998
1001,20240601,3,480,10.6,0.88,523,515
1001,20240602,1,480,1.7,0.697,678,675
1001,20240602,2,480,2.7,0.598,713,681
1001,20240602,3,480,17.4,0.537,773,737
1001,20240603,1,480,12.4,0.479,888,849
1001,20240603,2,480,23.8,0.472,892,856
1001,20240603,3,480,1.9,0.501,818,782
1001,20240604,1,480,12.3,0.726,555,539
1001,20240604,2,480,14.5,0.517,812,774
1001,20240604,3,480,5.5,0.633,741,740
1001,20240605,1,480,24.5,0.612,641,619
1001,20240605,2,480,5.9,0.407,1005,977
1001,20240605,3,480,8.5,0.49,914,884
1001,20240606,1,480,21.3,0.52,816,782
1001,20240606,2,480,12.4,0.476,857,839
1001,20240606,3,480,6.6,0.486,954,908
1001,20240607,1,480,14.1,0.674,611,594
1001,20240607,2,480,2.2,0.761,553,530
1001,20240607,3,480,7.9,0.851,533,531
1001,20240608,1,480,16.3,0.731,581,577
1001,20240608,2,480,12.8,0.578,759,741
1001,20240608,3,480,3.1,0.596,715,708
1001,20240609,1,480,9.5,0.811,529,522
1001,20240609,2,480,3.4,0.862,507,488
1001,20240609,3,480,6.0,0.533,801,789
1001,20240610,1,480,23.7,0.735,575,558
1001,20240610,2,480,20.7,0.825,496,494
1001,20240610,3,480,9.9,0.8,579,570
1001,20240611,1,480,4.0,0.693,595,588
1001,20240611,2,480,7.0,0.748,618,592
1001,20240611,3,480,9.8,0.724,590,565
1001,20240612,1,480,0.7,0.603,747,730
1001,20240612,2,480,3.9,0.625,686,660
1001,20240612,3,480,18.2,0.555,770,766
1001,20240613,1,480,13.5,0.709,566,542
1001,20240613,2,480,2.5,0.782,590,565
1001,20240613,3,480,5.5,0.562,787,771
1001,20240614,1,480,17.2,0.853,483,474
1001,20240614,2,480,14.0,0.553,823,785
1001,20240614,3,480,17.8,0.764,591,576
1001,20240615,1,480,8.0,0.814,555,540
1001,20240615,2,480,19.2,0.534,804,797
1001,20240615,3,480,7.9,0.642,722,714
1001,20240616,1,480,22.2,0.593,763,730
1001,20240616,2,480,13.0,0.64,701,697
1001,20240616,3,480,18.3,0.713,589,574
1001,20240617,1,480,12.7,0.41,1049,1040
1001,20240617,2,480,17.7,0.798,524,511
1001,20240617,3,480,0.8,0.591,743,715
1001,20240618,1,480,0.8,0.745,585,567
1001,20240618,2,480,6.2,0.669,645,627
1001,20240618,3,480,14.5,0.403,1128,1075
1001,20240619,1,480,11.3,0.504,858,826
1001,20240619,2,480,21.5,0.598,720,692
1001,20240619,3,480,0.5,0.602,736,715
1001,20240620,1,480,24.1,0.753,599,577
1001,20240620,2,480,19.7,0.678,635,633
1001,20240620,3,480,16.3,0.849,519,496
1001,20240621,1,480,17.5,0.642,705,697
1001,20240621,2,480,2.6,0.467,878,855
1001,20240621,3,480,2.0,0.762,581,575
1001,20240622,1,480,7.0,0.66,620,615
1001,20240622,2,480,4.4,0.451,926,916
1001,20240622,3,480,2.6,0.707,644,635
1001,20240623,1,480,4.8,0.431,1006,965
1001,20240623,2,480,17.5,0.578,730,697
1001,20240623,3,480,14.2,0.493,892,850
1001,20240624,1,480,24.4,0.742,537,510
1001,20240624,2,480,8.4,0.476,872,865
1001,20240624,3,480,15.1,0.488,884,850
1001,20240625,1,480,24.4,0.416,1043,1030
1001,20240625,2,480,1.7,0.486,889,882
1001,20240625,3,480,13.4,0.728,615,609
1001,20240626,1,480,11.9,0.654,680,654
1001,20240626,2,480,21.4,0.41,981,970
1001,20240626,3,480,8.5,0.475,869,848
1001,20240627,1,480,21.2,0.435,901,876
1001,20240627,2,480,23.9,0.54,831,825
1001,20240627,3,480,7.1,0.808,553,539
1001,20240628,1,480,10.6,0.808,558,550
1001,20240628,2,480,25.0,0.639,685,679
1001,20240628,3,480,5.3,0.421,1022,1013
1001,20240629,1,480,7.2,0.75,536,518
1001,20240629,2,480,15.4,0.465,974,932
1001,20240629,3,480,22.7,0.508,890,871
1001,20240630,1,480,2.1,0.433,949,928
1001,20240630,2,480,20.2,0.601,697,682
1001,20240630,3,480,13.3,0.744,574,565
1001,20240701,1,480,24.9,0.575,674,644
1001,20240701,2,480,13.8,0.572,800,784
1001,20240701,3,480,13.0,0.799,517,511
1001,20240702,1,480,0.1,0.71,662,654
1001,20240702,2,480,21.3,0.598,740,722
1001,20240702,3,480,15.5,0.429,950,928
1001,20240703,1,480,1.5,0.771,600,597
1001,20240703,2,480,2.5,0.87,471,458
1001,20240703,3,480,21.0,0.435,899,855
1001,20240704,1,480,12.8,0.806,503,480
1001,20240704,2,480,14.2,0.517,857,854
1001,20240704,3,480,19.2,0.839,506,501
1001,20240705,1,480,4.6,0.434,1031,982
1001,20240705,2,480,22.3,0.746,603,582
1001,20240705,3,480,12.2,0.771,536,523
1001,20240706,1,480,16.5,0.889,497,475
1001,20240706,2,480,11.9,0.694,587,570
1001,20240706,3,480,7.1,0.459,949,909
1001,20240707,1,480,14.8,0.485,912,875
1001,20240707,2,480,22.4,0.413,1022,986
1001,20240707,3,480,5.6,0.636,721,717
1001,20240708,1,480,7.6,0.477,941,920
1001,20240708,2,480,5.0,0.78,561,550
1001,20240708,3,480,9.0,0.62,664,655
1001,20240709,1,480,3.9,0.789,580,572
1001,20240709,2,480,0.5,0.537,817,799
1001,20240709,3,480,23.0,0.588,755,723
1001,20240710,1,480,9.3,0.426,1054,1009
1001,20240710,2,480,6.4,0.788,555,527
1001,20240710,3,480,0.1,0.655,654,627
1001,20240711,1,480,15.3,0.514,843,816
1001,20240711,2,480,4.7,0.469,895,851
1001,20240711,3,480,7.7,0.851,536,518
1001,20240712,1,480,14.4,0.684,657,631
1001,20240712,2,480,7.4,0.551,733,707
1001,20240712,3,480,21.9,0.856,463,450
1001,20240713,1,480,9.5,0.645,676,642
1001,20240713,2,480,21.1,0.887,487,478
1001,20240713,3,480,13.2,0.567,716,700
1001,20240714,1,480,1.1,0.812,536,520
1001,20240714,2,480,8.2,0.885,466,446
1001,20240714,3,480,4.1,0.729,645,620
1001,20240715,1,480,22.6,0.539,798,759
1001,20240715,2,480,12.4,0.727,595,572
1001,20240715,3,480,20.7,0.885,474,465
1001,20240716,1,480,19.8,0.521,857,825
1001,20240716,2,480,19.4,0.456,899,877
1001,20240716,3,480,13.1,0.825,559,533
1001,20240717,1,480,6.8,0.579,749,729
1001,20240717,2,480,21.4,0.785,498,484
1001,20240717,3,480,15.5,0.63,640,620
1001,20240718,1,480,10.3,0.494,908,876
1001,20240718,2,480,14.7,0.658,687,656
1001,20240718,3,480,2.9,0.55,789,761
1001,20240719,1,480,19.1,0.523,759,736
